,from,from_rounded,from_location,to_haven,trip_ID,vessel_mmsi,geometry
10279,2022-09-05 06:38:04+00:00,2022-09-05 07:00:00+00:00,"[4.2979, 51.89536]",1WH,5853,205103000,POINT (4.2979 51.89536)
10283,2022-09-05 07:48:53+00:00,2022-09-05 08:00:00+00:00,"[4.07961, 51.97781]",EURO,5856,219280000,POINT (4.07961 51.97781)
10284,2022-09-05 07:48:52+00:00,2022-09-05 08:00:00+00:00,"[4.07961, 51.97781]",EURO,5856,219280000,POINT (4.07961 51.97781)
10288,2022-09-05 08:44:35+00:00,2022-09-05 09:00:00+00:00,"[4.06228, 51.98455]",EURO,5859,355919000,POINT (4.06228 51.98455)
10290,2022-09-05 08:44:37+00:00,2022-09-05 09:00:00+00:00,"[4.08671, 51.96843]",AMALIA,5861,228395600,POINT (4.08671 51.96843)
10291,2022-09-05 09:04:44+00:00,2022-09-05 09:00:00+00:00,"[4.29715, 51.89642]",NMBOT,5862,636020892,POINT (4.29715 51.89642)
10292,2022-09-05 09:04:33+00:00,2022-09-05 09:00:00+00:00,"[4.29715, 51.89642]",NMBOT,5862,636020892,POINT (4.29715 51.89642)
10293,2022-09-05 08:59:44+00:00,2022-09-05 09:00:00+00:00,"[4.28234, 51.89918]",NMBOT,5862,636020892,POINT (4.28234 51.89918)
10294,2022-09-05 09:49:56+00:00,2022-09-05 10:00:00+00:00,"[4.08729, 51.96897]",EURO,5863,367606000,POINT (4.08729 51.96897)
10295,2022-09-05 09:39:55+00:00,2022-09-05 10:00:00+00:00,"[4.07243, 51.98054]",EURO,5863,367606000,POINT (4.07243 51.98054)
10300,2022-09-05 11:46:22+00:00,2022-09-05 12:00:00+00:00,"[4.08435, 51.97635]",AMAZ,5866,357214000,POINT (4.08435 51.97635)
10301,2022-09-05 11:46:18+00:00,2022-09-05 12:00:00+00:00,"[4.08435, 51.97635]",AMAZ,5866,357214000,POINT (4.08435 51.97635)
10305,2022-09-05 11:05:56+00:00,2022-09-05 11:00:00+00:00,"[4.06395, 51.98378]",AMALIA,5869,219609000,POINT (4.06395 51.98378)
